age,annual_income,employment_years,loan_amount,loan_term_months,interest_rate,credit_score,num_credit_lines,num_delinquent_accounts,monthly_payment_capacity,loan_defaulted,debt_to_income_ratio,loan_term_risk
19,22908.82,2.9,14875.88,36,6.1,815,3,1,1455.84,0,0.6493516470948744,18.299999999999997
36,36668.93,2.3,5231.74,24,11.78,531,3,1,2810.01,1,0.14267501124248785,23.56
37,69966.37,8.6,3982.8,36,9.71,598,0,0,5702.56,0,0.05692449100903763,29.130000000000003
54,54911.7,6.3,11008.3,36,11.16,558,3,0,4214.74,1,0.20047275899307435,33.480000000000004
27,102776.44,0.7,22460.92,24,8.71,640,4,0,7541.57,0,0.21854152566483134,17.42
29,101358.42,3.4,30475.48,48,11.0,571,3,0,7658.88,0,0.30067043270800786,44.0
43,49243.56,0.3,37535.1,48,10.19,604,1,0,3148.21,0,0.7622336809117781,40.76
41,27824.49,0.4,5393.33,12,8.43,644,5,1,1848.48,0,0.19383392112487954,8.43
33,25368.27,0.2,18334.66,48,8.46,648,2,0,1662.45,0,0.7227398636170302,33.84
31,21577.58,3.4,11622.12,36,7.69,723,3,0,1435.6,0,0.538620178907922,23.07
40,15000.0,5.6,5317.64,48,9.51,620,3,0,1116.38,0,0.35450933333333334,38.04
31,39255.87,2.0,13123.0,36,8.02,659,3,1,2859.97,0,0.33429395399974576,24.06
36,23375.37,0.6,25583.69,48,12.12,516,6,0,1272.72,0,1.094472087500647,48.48
28,46921.87,11.8,54557.13,36,8.65,673,2,0,2184.13,0,1.162722841182587,25.950000000000003
38,15000.0,2.4,5101.14,36,8.58,628,6,0,1088.78,0,0.34007600000000004,25.740000000000002
37,28486.57,0.9,15621.86,48,7.49,713,1,1,1996.23,0,0.5483938571755042,29.96
18,62736.98,0.2,43973.04,24,11.33,568,2,0,3171.85,1,0.7009110097425792,22.66
27,50221.42,0.8,26692.27,36,8.55,646,3,0,3341.89,1,0.5314917419698607,25.650000000000002
38,36605.69,3.2,24882.7,48,9.53,636,1,1,2424.99,0,0.6797495143514574,38.12
24,53993.85,1.8,17271.57,36,9.55,616,2,1,3945.82,0,0.3198803197030773,28.650000000000002
44,38497.24,0.9,16230.65,48,8.97,667,3,0,2804.43,0,0.42160554886532126,35.88
31,43086.66,5.9,35126.98,60,8.8,681,0,0,2864.78,0,0.8152634713389248,44.0
31,48636.55,11.0,12643.72,60,9.16,665,2,0,3789.6,0,0.2599633403273875,45.8
