age,annual_income,employment_years,loan_amount,loan_term_months,interest_rate,credit_score,num_credit_lines,num_delinquent_accounts,monthly_payment_capacity,last_audit_team_id,loan_defaulted
19,22908.82,2.9,14875.88,36,5.699999999999999,815,3,1,1458.5345693254076,-1,0
36,36668.93,2.3,5231.74,24,11.379999999999999,531,3,1,2810.980042357443,-1,1
37,69966.37,8.6,3982.8,36,10.04,598,0,0,5701.94227112084,-1,0
54,54911.7,6.3,11008.3,36,10.84,558,3,0,4216.410908381433,-1,1
27,102776.44,0.7,22460.92,24,9.2,640,4,0,7536.5196677529975,-1,0
29,101358.42,3.4,30475.48,48,10.58,571,3,0,7665.081760487501,-1,0
43,49243.56,0.3,37535.1,48,9.92,604,1,0,3153.0843267774103,-1,0
41,27824.49,0.4,5393.33,12,9.12,644,5,1,1846.7526483975525,-1,0
33,25368.27,0.2,18334.66,48,9.04,648,2,0,1657.415392507089,-1,0
31,21577.58,3.4,11622.12,36,7.539999999999999,723,3,0,1436.397921106198,-1,0
40,15000.0,5.6,5317.64,48,9.6,620,3,0,1116.1501200416064,-1,0
31,39255.87,2.0,13123.0,36,8.82,659,3,1,2855.113109400178,-1,0
36,23375.37,0.6,25583.69,48,11.68,516,6,0,1278.2434456356775,-1,0
28,46921.87,11.8,54557.13,36,8.54,673,2,0,2186.91021129223,-1,0
38,15000.0,2.4,5101.14,36,9.44,628,6,0,1086.738474494167,-1,0
37,28486.57,0.9,15621.86,48,7.74,713,1,1,1994.4092671801561,-1,0
18,62736.98,0.2,43973.04,24,10.64,568,2,0,3185.9351671374534,-1,1
27,50221.42,0.8,26692.27,36,9.08,646,3,0,3335.3171002157114,-1,1
38,36605.69,3.2,24882.7,48,9.28,636,1,1,2427.953592820729,-1,0
24,53993.85,1.8,17271.57,36,9.68,616,2,1,3944.7737616301697,-1,0
44,38497.24,0.9,16230.65,48,8.66,667,3,0,2806.818167435121,-1,0
31,43086.66,5.9,35126.98,60,8.379999999999999,681,0,0,2871.901093799317,-1,0
31,48636.55,11.0,12643.72,60,8.7,665,2,0,3792.420090519965,-1,0
66,47936.84,3.8,8051.3,60,10.08,596,2,0,3823.3532378346185,-1,1
19,28501.93,3.5,26735.64,24,11.32,534,2,0,1125.0946735335585,-1,1
18,24137.15,6.3,19261.8,36,6.42,779,3,0,1421.7753252517573,-1,0
26,30191.64,1.9,1483.58,24,12.22,489,3,1,2445.980219785881,-1,0
33,25858.87,23.5,8189.26,48,10.799999999999999,560,4,0,1944.0446388170808,-1,0
27,26836.42,4.6,8522.42,60,12.28,486,6,0,2045.583739361159,-1,0
29,78336.2,3.1,30324.66,36,9.86,607,1,1,5551.517190139207,-1,0
37,37150.68,6.0,2995.55,48,11.28,536,2,0,3018.0604897233675,-1,1
33,93215.67,5.8,47859.7,48,6.039999999999999,798,2,0,6643.108139869772,-1,0
50,31343.76,1.8,4845.76,48,11.799999999999999,510,4,1,2484.847880172544,-1,1
25,19130.85,7.5,23503.19,36,10.6,570,2,0,829.2176697232165,-1,1
30,15000.0,2.3,7307.27,24,7.039999999999999,748,4,1,922.7021523318608,-1,0
44,34459.63,2.3,10009.71,12,8.02,699,1,0,2000.8143191784184,-1,0
25,149144.02,1.2,1817.36,60,7.52,724,2,0,12392.23489252267,-1,0
30,101939.77,2.0,23862.83,36,10.4,580,6,1,7720.505268924955,-1,1
37,66862.63,6.5,25577.8,36,8.4,680,4,0,4765.642343663069,-1,0
27,85067.86,4.1,27654.36,12,10.04,598,3,0,4657.216236068427,-1,0
24,25561.62,2.1,22824.19,36,7.9399999999999995,703,3,1,1415.5394273362726,-1,0
18,22550.1,12.8,3718.74,36,8.219999999999999,689,3,0,1762.2654193440578,-1,0
29,50764.36,3.7,9824.02,36,14.26,387,2,0,3893.359707050672,-1,0
30,15000.0,6.0,48437.18,12,13.56,422,4,1,-3089.0132592631353,-1,0
32,30564.57,2.5,18154.73,36,5.940000000000001,803,4,0,1995.238860967484,-1,0
50,15931.89,13.6,10994.67,24,5.699999999999999,815,4,0,841.851900622259,-1,1
29,25813.49,7.0,6659.7,36,10.299999999999999,585,2,1,1935.2951518172108,-1,0
37,82646.95,6.4,32167.31,36,8.86,657,1,1,5866.428637163799,-1,0
35,46298.84,15.4,6344.64,36,10.98,551,1,0,3650.581379136299,-1,0
41,28879.06,4.9,7883.24,24,7.619999999999999,719,3,0,2051.4154359992735,-1,0
35,73710.96,1.1,7499.03,36,8.82,659,1,0,5904.740580172996,-1,0
49,15000.0,3.9,41865.45,24,10.32,584,2,1,-688.0672966868171,-1,0
22,25676.96,5.3,33380.25,24,7.32,734,1,0,640.3796470795896,-1,0
43,18454.06,5.7,16307.82,36,11.799999999999999,510,4,0,997.7418136541924,-1,1
18,50890.31,7.9,12218.66,48,8.02,699,3,0,3942.4512463334568,-1,0
34,53357.45,4.8,8046.92,12,10.62,569,5,0,3736.6795692848123,-1,1
34,20686.64,10.8,15596.31,24,12.94,453,2,2,982.8491288515205,-1,1
