epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,69.6773,0.7125,0.90083,1,0.40029,0.0672012,0.000331301,0.000331301
2,132.367,0.21275,0.97521,1,0.1674,0.0341879,0.000651355,0.000651355
3,192.835,0.1037,0.98347,1,0.08264,0.00116134,0.000958089,0.000958089
4,253.231,0.07383,1,1,0.02404,0.00094006,0.00094006,0.00094006
5,315.792,0.05657,1,1,0.02332,0.00092008,0.00092008,0.00092008
6,726.042,0.05454,1,1,0.01624,0.0009001,0.0009001,0.0009001
7,788.718,0.03456,1,1,0.01994,0.00088012,0.00088012,0.00088012
8,851.295,0.03595,1,1,0.02282,0.00086014,0.00086014,0.00086014
9,914.846,0.02573,1,1,0.01032,0.00084016,0.00084016,0.00084016
10,978.005,0.0297,1,1,0.00656,0.00082018,0.00082018,0.00082018
11,1040.58,0.03485,1,1,0.0095,0.0008002,0.0008002,0.0008002
12,1103.13,0.03184,1,1,0.00525,0.00078022,0.00078022,0.00078022
13,1165.8,0.03303,1,1,0.00677,0.00076024,0.00076024,0.00076024
14,1228.56,0.0248,1,1,0.00331,0.00074026,0.00074026,0.00074026
15,1290.28,0.02145,1,1,0.00519,0.00072028,0.00072028,0.00072028
16,1353.12,0.01986,1,1,0.00567,0.0007003,0.0007003,0.0007003
17,1416.71,0.01691,1,1,0.00433,0.00068032,0.00068032,0.00068032
18,3985.48,0.01924,1,1,0.00287,0.00066034,0.00066034,0.00066034
19,4052.07,0.0225,1,1,0.00278,0.00064036,0.00064036,0.00064036
20,4117.52,0.02058,1,1,0.00304,0.00062038,0.00062038,0.00062038
21,4178.66,0.01899,1,1,0.00323,0.0006004,0.0006004,0.0006004
22,4239.26,0.01362,1,1,0.00348,0.00058042,0.00058042,0.00058042
23,4300.29,0.01292,1,1,0.00239,0.00056044,0.00056044,0.00056044
24,4363.25,0.01363,1,1,0.00161,0.00054046,0.00054046,0.00054046
25,4425.16,0.01939,1,1,0.0021,0.00052048,0.00052048,0.00052048
26,4485.85,0.01344,1,1,0.00234,0.0005005,0.0005005,0.0005005
27,4547.33,0.01552,1,1,0.00334,0.00048052,0.00048052,0.00048052
28,4608.2,0.01744,1,1,0.00207,0.00046054,0.00046054,0.00046054
29,4671.05,0.01035,1,1,0.00148,0.00044056,0.00044056,0.00044056
30,5234.75,0.01155,1,1,0.00231,0.00042058,0.00042058,0.00042058
31,5297.06,0.01034,1,1,0.00163,0.0004006,0.0004006,0.0004006
32,5360.61,0.01828,1,1,0.00199,0.00038062,0.00038062,0.00038062
33,5422.87,0.01673,1,1,0.00165,0.00036064,0.00036064,0.00036064
34,5486.37,0.01232,1,1,0.00167,0.00034066,0.00034066,0.00034066
35,5548.64,0.01165,1,1,0.00159,0.00032068,0.00032068,0.00032068
36,5612.28,0.01187,1,1,0.0015,0.0003007,0.0003007,0.0003007
37,5675.49,0.01531,1,1,0.0023,0.00028072,0.00028072,0.00028072
38,5736.66,0.01757,1,1,0.00154,0.00026074,0.00026074,0.00026074
39,5798.57,0.01537,1,1,0.00161,0.00024076,0.00024076,0.00024076
40,5863.2,0.01175,1,1,0.00178,0.00022078,0.00022078,0.00022078
41,5926.89,0.01605,1,1,0.00194,0.0002008,0.0002008,0.0002008
42,5990.36,0.01392,1,1,0.00153,0.00018082,0.00018082,0.00018082
43,6053.46,0.01032,1,1,0.00191,0.00016084,0.00016084,0.00016084
44,6116.95,0.01569,1,1,0.00162,0.00014086,0.00014086,0.00014086
45,6182.39,0.01111,1,1,0.00159,0.00012088,0.00012088,0.00012088
46,6245.31,0.01022,1,1,0.00169,0.0001009,0.0001009,0.0001009
47,6312.17,0.01326,1,1,0.00142,8.092e-05,8.092e-05,8.092e-05
48,6377.68,0.00999,1,1,0.0017,6.094e-05,6.094e-05,6.094e-05
49,6440.5,0.01153,1,1,0.00153,4.096e-05,4.096e-05,4.096e-05
50,6502.44,0.0115,1,1,0.00149,2.098e-05,2.098e-05,2.098e-05
